company_name	url	poa	city	state	country	year_founded	full_time_employees_low	full_time_employees_high	company_type	company_category	revenue_source	business_model	social_impact	description	description_short	source_count_low	source_count_high	data_types	data_comments	example_uses	data_impacts	requested_data	data_sources
ADG Engineers (Aust) Pty Ltd	https://protect-au.mimecast.com/s/P7abCWLVn6iq0wYvSKtCBB?domain=adgce.com	4066	Brisbane	QLD	au	2002	51	200	Private	Construction	"Consulting, Government contract"	Business to Business	"Citizen engagement and participation, Public safety"	"We are not limited by discipline, restricted by geography or held back by the technology of our time.
Our project teams are multi-disciplinary, using our combined strength and expertise to provide the best possible outcome for our clients. We communicate across offices, states and countries with our colleagues, partners and clients.

We don’t just grow in terms of our job titles. We are continually learning new approaches to design, collaborating with engineers, draftspeople and technicians across multiple disciplines and drawing from the knowledge and experience of our leadership team.

We believe in always moving forward. If we…

    …require advanced technology, we find it.
    …need to think about a problem a little differently to achieve the outcome we need, we do it.
    …have an idea which will save our clients time, money and risk, we speak up.
"	"We believe project success is created through continuous collaboration with our clients, partners and colleagues as we go about the delivery of an outstanding outcome."	1	10	"Business, Economics, Energy, Environment, Finance, Geospatial/Mapping, Government Operations, Health/Healthcare, Positioning/GPS"	"At this moment in time the required data that we seek is available. But our biggest issue is getting to the data, all the unnecessary process that one has to go through in order to gain the information is time consuming and a logistical nightmare.  "	"We use BIM (Building information Model) platforms that allow us to openly exchange data to other consultants within the project. From Client to Architect all through the project phase to construction, hand over and facilities management. 
The BIM data allows us to effectively communicate our design intent but also verify construction scenarios prior to commencement. This has a long term benefit because our Client and builders can utilize this information to provide cost certainty but safety on site.  "	"Cost efficiency', 'New or improved product/service', 'Job growth', 'Revenue growth', 'Identify new opportunities', 'New/improved research', 'Safety'"	"Australian Open BIM standards, Once this data has been defined by public and private sector we can establish and standard form of representation of the BIM. 
This in return can reduce risk, human error, and provide cost certainty on project delivery (no more project blow outs). "	"New South Wales Government (NSW Land and Property Information), Queensland Government"
Advance Cairns	https://protect-au.mimecast.com/s/l7yFCXLW6DiKm7N3SkWk2_?domain=advancecairns.com	4870	Cairns	QLD	au	2000	1	10	Nonprofit	Economic Development and Advocacy	"Government contract, Membership fees"	Business to Government	Citizen engagement and participation	"Advance Cairns is the peak regional economic development, investment attraction and advocacy organisation for Tropical North Queensland.
We facilitate connections between private enterprise, industry, community and government agencies to improve the lives of people living within our region."	Regional development and advocacy organisation.	101		"Agriculture & Food, Business, Consumer, Demographics & Social, Economics, Education, Energy, Environment, Finance, Geospatial/Mapping, Government Operations, Health/Healthcare, Housing, International/Global Development, Legal, Manufacturing, Positioning/GPS, Science and Research, Public Safety, Tourism, Transportation, Weather, As required by our project"		"The company undertakes extensive statistical research in support of its various advocacy issues and uses data sets developed by the ABS, Qld Govt Statisticians Office, Austrade, Ausaid, Trade & Investment Qld, various local government authorities, UN, World Bank, ADB, ABARE, etc. where ever it is possible to access data and research via Govt departments, we source it and use it.  We use a tool called 'economyID' which provides us with significant specialised regional data.  "	"Job growth', 'Identify new opportunities', 'New/improved research', 'For advocacy  and developing business cases'"	"Difficult to specify, all data is important for us depending on the project we are working on. "	Australian Bureau of Statistics
Aerometrex Pty Ltd	https://protect-au.mimecast.com/s/hWqwCYW86Esl5oZPSMA_B3?domain=aerometrex.com.au	5067	Adelaide	SA	au	1980	11	50	Private	Geospatial/Mapping	"Consulting, Data analysis for clients, Database licensing, Government contract, Subscriptions, User fees for web or mobile access, Company contract"	"Business to Business, Business to Consumer, Business to Government"	"Citizen engagement and participation, Environment and climate change, Good governance, Built environment, Engineering"	"Our mission is to provide professional, accurate digital image mapping and geospatial engineering solutions to our clients by exploiting both existing and emerging air and ground imaging technologies."	"Aerometrex is a producer of high-quality, accurate aerial imagery and derived geospatial products."							-	Geoscience Australia
Alantgeo Pty Ltd	https://protect-au.mimecast.com/s/L1pWCZY146sgznRyUP1tVG?domain=alantgeo.com.au	2072	Sydney	NSW	au	2015	1	10	Private	Geospatial/Mapping	Consulting	"Business to Business, Business to Government"	"Citizen engagement and participation, Environment and climate change"	"Alantgeo specialises in delivering web and mobile geospatial mapping and visualisation solutions, allowing anyone to design and publish maps."	Web and mobile geospatial mapping and visualisation.	11	50	Geospatial/Mapping	"Not all products are released as open data, and not all are easily accessible online, but specifically the National Dynamic Land Cover Dataset is used for enhancing the maps we supply, which adds value to what we provide."	"We use both government and non-government sourced open data. Specifically geospatial data. This includes, OpenStreetMap, VicMap data, QLD open geospatial data, ABS data and various Geoscience Australia data products in our consultancy services and to value add to these datasets for business and government consumers."	"Cost efficiency', 'New or improved product/service', 'Revenue growth', 'Identify new opportunities'"	"National geocoded address database. (Vic, Qld and Tas have already released, but we need national coverage)."	Geoscience Australia (National Dynamic Land Cover Dataset)
Alexander & Symonds Pty Ltd	https://protect-au.mimecast.com/s/avocC1WLjwsG8wmKUyFr4i?domain=alexander.com.au	5067	Adelaide	SA	au	1932	51	200	Private	Professional Consulting	"Consulting, Government contract"	"Business to Business, Business to Consumer, Business to Government"	Housing access	"Alexander Symonds first made its mark on the Australian surveying scene in 1932 and has since grown to become one of the leading and longest serving surveying consultancies in the country.
We offer consulting services in all fields of surveying including land development, precise engineering, infrastructure, laser scanning and licensed surveying.
Our many award-winning projects have been supported by utilising contemporary surveying procedures and advanced technology that has positioned us at the forefront of the industry. 
Behind these advancements is our team of over 75 highly skilled employees who are based in offices across South Australia and Victoria. They are committed to providing the highest quality service to our clients, and from large complex projects to small jobs, recognise the critical nature of the work we do where accuracy and timeliness are crucial.
We believe our success in business over the past 80 years has been underpinned by strong and enduring relationships. We seek not only to serve our clients, but also our staff, strategic partners and the local communities in which we operate to deliver wide-ranging benefits to all stakeholders. 
At Alexander Symonds, we recognise it is not only about doing a good job – it is about shaping our world.
"	"At Alexander Symonds, we recognise it is not only about doing a good job - it is about shaping our world.
"	11	50	"Environment, Geospatial/Mapping, Housing, Legal, Positioning/GPS, Transportation"	"These data sets are invaluable, they need to be maintained & upgraded continuously & are vital underpinning information for the economic prosperity of our state & nation. "	"Our daily activities make use of the foundation data sets which we analyse, manipulate, integrate & present to our client along with the new information we have collected.
Data sets include survey marks, contours, aerial mapping, cadastral & land information"	"Cost efficiency', 'New or improved product/service', 'Job growth', 'Revenue growth', 'Identify new opportunities', 'New/improved research'"	-	"Government of South Australia (Department for Environment and Heritage (SA), Department for Transport, Energy and Infrastructure)"
Almighty God Blessing Family Day Care pty ltd		2607	Canberra	ACT	au	2014	11	50	Private	Family day care services	"Advertising, Consulting, Contributions/Donations, Data analysis for clients, Database licensing, Government contract, Membership fees, User fees for web or mobile access"	Business to Consumer	"Citizen engagement and participation, Consumer empowerment, Public safety"	"We engage, support, resource and inspire educators to work in collaboration with families ensuring each child reaches their full potential. In meeting our vision, the service will act in a professional and respectful manner, valuing partnerships and diversity. Our primary focus is always what is in the best interests of the child and in doing so we honour the United Nations Convention on the Rights of the Child."	"Excellent family day care where every child will have a good future.
"							-	-
Applied Land Systems	https://protect-au.mimecast.com/s/Fiu2C2xMRkU37oGAi0q722?domain=appliedlandsystems.com.au	2537	Tuross Head	NSW	au	2008	1	10	Private	Geospatial/Mapping	"Consulting, Data analysis for clients, Government contract"	"Business to Business, Business to Consumer, Business to Government"		"Applied Land Systems Pty Ltd has been established to meet a growing need in the community for specialist services related to measurement, geographic information systems (GIS), information system design and project management. Recent developments through the web have exposed more people to the 'where' of everyday activities and events. This provides new opportunities for service providers to take advantage of the efficiencies offered by a range new technologies; however putting these in place requires sound project management by those that understand the capabilities and pitfalls. Through its Director Robert Twin, Applied Land Systems brings together a range of skills and experience that can be applied to projects big and small to meet this need. These range from field based activities such as surveying and data collection, to GIS, data modelling, project management and web mapping."	Providing surveying and spatial information solutions to clients in the private sector and government.	1	10	"Geospatial/Mapping, Positioning/GPS"	"Cadastral survey work in NSW requires access to LPI survey plans, land titles, survey control information etc. These products are only available on a fee basis."	"Use will be on demand based on client requirements. To date I have experienced little requirement to access open data for private clients as demand has mainly been for data which is sourced from State Governments and for which there is a charge.
Contract work within both local and federal government agencies has made use of other data sources; however this has been obtained by the respective organisations."	"Cost efficiency', 'New or improved product/service', 'Identify new opportunities'"	Most spatial data; however this is dependent upon client requirements.	New South Wales Government (NSW Land and Property Information)
Arup	digital.arup.com	2000	Sydney	NSW	au	1946	1001	5000	Private	Research & Consulting	"Consulting, Data analysis for clients, Government contract"	"Business to Business, Business to Consumer, Business to Government"	"Citizen engagement and participation, Consumer empowerment, Environment and climate change, Good governance"	"Arup is a multinational professional services firm  which provides engineering, design, planning, project management and consulting services for all aspects of the built environment. The firm has over 11,000 staff based in 92 offices across 42 countries, and is present in Africa, the Americas, Australasia, East Asia, Europe and the Middle East. Arup has participated in projects in over 160 countries and currently has over 1,100 staff across Australia."	"We are an independent firm of designers, planners, engineers, consultants and technical specialists offering a broad range of professional services."	11	50	"Business, Demographics & Social, Economics, Energy, Environment, Finance, Geospatial/Mapping, Government Operations, Housing, International/Global Development, Positioning/GPS, Transportation, Weather"		"We help government and the private sector release their open data, and also use it on our projects for government and private sector to better inform the decision making process. "	"New or improved product/service', 'Identify new opportunities', 'New/improved research'"	"primarily transport (smart card), demographics, population, employment, dwellings, landuse, property sales"	Transport NSW
AuScope Ltd	https://protect-au.mimecast.com/s/zwrtC3QNl1SKZYMVSOTQKQ?domain=auscope.org.au	3000	Melbourne	VIC	au	2007	1	10	Nonprofit	Research & Consulting	Government contract	Research Infrastructure	"Educational opportunity, Environment and climate change, Resources Industry and Research"	"AuScope Limited is a non-profit company formed to facilitate the implementation of a world-class infrastructure system for earth science through the delivery of a range of technologies and capabilities in data acquisition, management, modelling and simulation across the geospatial and geoscience spectrum."	"AuScope Limited implements a world-class infrastructure system for earth science delivering a range of technologies and capabilities in data acquisition, modelling across geospatial and geosciences."	11	50	"Environment, Geospatial/Mapping, Positioning/GPS, Science and Research, Geoscience (Minerals, Resources, Ground Water)"	"The number of datasets AuScope uses and or publishes is rather large. I will summarise as All state and territory geological surveys, Geoscience Australia, CSIRO, University of Melbourne.
For a complete list see the AuScope Portal. (portal.auscope.org)."	"AuScope's strong partnership with all State and Territory Geological Surveys, Geoscience Australia and Universities has led to the creation of an Open Data based geoscience information infrastructure for use by researchers and Industry. AuScope developed the technology and standards that allows national interoperability across all these partners (the spatial information services stack, SISS). The data is now available directly from the partners and used in the AuScope Portal and in numerous research projects. The Govt agencies involved are now publishing this open data for use by Industry using the same AuScope infrastructure."	"Cost efficiency', 'New or improved product/service', 'Job growth', 'Identify new opportunities', 'New/improved research'"	-	"Geoscience Australia, CSIRO"
Australian Information Industry Association 	https://protect-au.mimecast.com/s/hxzBC4QO8xS5rAWGUXVWvb?domain=aiia.com.au	2612	Canberra 	ACT	au	1985	11	50	Private	Interest group	"Consulting, Membership fees"	"Business to Business, Business to Government"	"Citizen engagement and participation, Educational opportunity, Good governance, Healthcare access"	"AIIA seeks
- A future where a thriving, sustainable and influential information industry accelerates the digital economy to enhance Australa's productivity and sustainability
- To grow the whole ICT industry
- To reduce barriers to ICT business growth

AIIA achieves this by
- Representing members to government and to other industries
- Creating a favourable business environment
- Influencing government policy and decision making
- Shaping the image of the ICT industry to showcase its value and contribution to business, the community and to the economy
- Delivering effective programs and services to members
- Connecting members with new business opportunities and critical information"	National ICT interest group 	1	10	"Economics, Education, Energy, Government Operations, Health/Healthcare, International/Global Development"	Limited information/data available re ICT industry 	"Research for submissions to government 
Research for policy positions 
Research for other publications "	"Cost efficiency', 'New/improved research'"	"Rate of uptake for cloud computing 
Number of security breaches re cyber security 
ICT use in businesses and community 
ICT contribution to productivity and growth "	Australian Bureau of Statistics
