Offence_Month,Rego_State,Clt_Catg,Camera_Type,Location_Code,Location_Desc,Offence_Desc,Sum_Pen_Amt,Sum_Inf_Count,Sum_With_Amt,Sum_With_Count
Mar-22,ACT,Diplomatic,FIXED ONLY SPEED CAMERA,1035,TUGGERANONG PARKWAY NEAR COTTER ROAD OVERPASS SOUTHBOUND,20 Non-school zone exceed speed limit by <= 15km/h,301,1,0,0
Mar-22,ACT,Diplomatic,FIXED ONLY SPEED CAMERA,1027,BARTON HIGHWAY BETWEEN GUNGAHLIN DRIVE AND ELLENBOROUGH STREET,20 Non-school zone exceed speed limit by <= 15km/h,602,2,0,0
Mar-22,ACT,Diplomatic,MOBILE SPEED CAMERA,3048,BLAMEY CRESCENT - CANBERRA GRAMMAR SCHOOL NORTH SIDE,20 School Zone  Exceed Speed Limit By <= 15 Km/H,1385,1,0,0
Mar-22,ACT,Diplomatic,MOBILE SPEED CAMERA,230,JOHN GORTON DRIVE,20 Non-school zone exceed speed limit by <= 15km/h,301,1,0,0
Mar-22,ACT,Diplomatic,MOBILE SPEED CAMERA,3016,MUGGA WAY CANBERRA BOYS GRAMMAR,20 School Zone  Exceed Speed Limit By <= 15 Km/H,975,3,0,0
Mar-22,ACT,Diplomatic,MOBILE SPEED CAMERA,3038,COWPER STREET DARAMALAN COLLEGE,20 School Zone  Exceed Speed Limit By <= 15 Km/H,325,1,0,0
Mar-22,ACT,Diplomatic,MOBILE SPEED CAMERA,3014,JERRABOMBERRA AVE NARRABUNDAH COLLEGE,20 School Zone  Exceed Speed Limit By <= 15 Km/H,325,1,0,0
Mar-22,ACT,Diplomatic,MOBILE SPEED CAMERA,251,CASWELL DRIVE,20 Non-school zone exceed speed limit by <= 15km/h,301,1,0,0
Mar-22,ACT,Diplomatic,MOBILE SPEED CAMERA,1,ADELAIDE AVENUE,20 Non-school zone exceed speed limit by <= 15km/h,1566,2,0,0
Mar-22,ACT,Diplomatic,MOBILE SPEED CAMERA,93,SOUTHERN CROSS DRIVE,20 Non-school zone exceed speed limit by <= 15km/h,301,1,0,0
Mar-22,ACT,Diplomatic,MOBILE SPEED CAMERA,111,LIMESTONE AVENUE,20 Non-School Zone Exceed Speed Limit > 15 But <= 30 Km/H,444,1,0,0
Mar-22,ACT,Diplomatic,POINT TO POINT CAMERA,2004,HINDMARSH DRIVE EASTBOUND BETWEEN PALMER STREET AND DALRYMPLE STREET,20 Non-school zone exceed speed limit by <= 15km/h,301,1,0,0
Mar-22,ACT,Diplomatic,RED LIGHT AND SPEED CAMERA,1001,NORTHBOURNE AVENUE/LONDON CIRCUIT,20 Non-school zone exceed speed limit by <= 15km/h,5841,13,0,0
Mar-22,ACT,Diplomatic,RED LIGHT AND SPEED CAMERA,1002,NORTHBOURNE AVENUE/BARRY DRIVE/COOYONG STREET,60 Enter Intersection or Marked Foot Crossing When Traffic Arrow Red,982,2,0,0
Mar-22,ACT,Diplomatic,RED LIGHT AND SPEED CAMERA,1022,HINDMARSH DRIVE/BALL STREET,20 Non-school zone exceed speed limit by <= 15km/h,301,1,0,0
Mar-22,ACT,Diplomatic,RED LIGHT AND SPEED CAMERA,1020,BARRY DRIVE/MARCUS CLARKE STREET,59 (1) Enter Intersection or Marked Foot Crossing When Traffic Light Red,491,1,0,0
Mar-22,ACT,Diplomatic,RED LIGHT AND SPEED CAMERA,1002,NORTHBOURNE AVENUE/BARRY DRIVE/COOYONG STREET,20 Non-school zone exceed speed limit by <= 15km/h,1505,5,0,0
Mar-22,ACT,Diplomatic,RED LIGHT AND SPEED CAMERA,1020,BARRY DRIVE/MARCUS CLARKE STREET,20 Non-school zone exceed speed limit by <= 15km/h,1505,5,0,0
Mar-22,ACT,Embassy Staff - Privilege,FIXED ONLY SPEED CAMERA,1027,BARTON HIGHWAY BETWEEN GUNGAHLIN DRIVE AND ELLENBOROUGH STREET,20 Non-school zone exceed speed limit by <= 15km/h,301,1,0,0
Mar-22,ACT,Embassy Staff - Privilege,FIXED ONLY SPEED CAMERA,1034,TUGGERANONG PARKWAY NEAR COTTER ROAD OVERPASS NORTHBOUND,20 Non-school zone exceed speed limit by <= 15km/h,301,1,0,0
